iter	Passed	Remaining
0	204	204093
1	235	117456
2	269	89523
3	301	75096
4	346	69033
5	380	63033
6	415	58905
7	489	60664
8	532	58580
9	565	56015
10	626	56362
11	663	54645
12	733	55678
13	767	54060
14	801	52652
15	837	51490
16	871	50401
17	905	49387
18	941	48610
19	976	47826
20	1009	47059
21	1040	46267
22	1076	45723
23	1110	45149
24	1144	44625
25	1177	44106
26	1231	44367
27	1278	44376
28	1312	43954
29	1350	43676
30	1402	43827
31	1436	43442
32	1469	43053
33	1505	42787
34	1544	42591
35	1577	42245
36	1610	41912
37	1643	41618
38	1678	41356
39	1718	41236
40	1762	41236
41	1796	40968
42	1829	40710
43	1865	40533
44	1898	40285
45	1931	40062
46	1964	39833
47	2007	39823
48	2041	39626
49	2084	39605
50	2117	39405
51	2151	39215
52	2194	39204
53	2226	38999
54	2258	38805
55	2303	38824
56	2338	38683
57	2379	38645
58	2412	38470
59	2445	38315
60	2478	38150
61	2511	37991
62	2580	38375
63	2620	38329
64	2653	38167
65	2695	38150
66	2732	38050
67	2775	38044
68	2808	37888
69	2845	37800
70	2878	37667
71	2912	37534
72	2946	37415
73	2978	37273
74	3011	37142
75	3046	37044
76	3083	36962
77	3119	36876
78	3155	36784
79	3191	36699
80	3227	36615
81	3277	36686
82	3352	37043
83	3389	36963
84	3434	36971
85	3469	36876
86	3503	36764
87	3545	36747
88	3578	36632
89	3613	36536
90	3646	36429
91	3681	36334
92	3715	36235
93	3764	36280
94	3796	36171
95	3848	36243
96	3890	36218
97	3925	36128
98	3967	36110
99	4000	36004
100	4033	35899
101	4067	35810
102	4100	35706
103	4133	35613
104	4172	35567
105	4223	35618
106	4255	35518
107	4289	35427
108	4326	35369
109	4378	35428
110	4412	35337
111	4446	35255
112	4479	35158
113	4512	35074
114	4555	35053
115	4588	34970
116	4629	34936
117	4662	34851
118	4696	34770
119	4730	34688
120	4782	34739
121	4816	34661
122	4849	34578
123	4882	34492
124	4920	34440
125	4953	34356
126	4991	34312
127	5025	34237
128	5059	34163
129	5093	34084
130	5139	34092
131	5172	34016
132	5243	34182
133	5275	34096
134	5310	34027
135	5347	33970
136	5382	33905
137	5419	33853
138	5457	33802
139	5493	33748
140	5528	33680
141	5571	33663
142	5606	33597
143	5640	33526
144	5676	33471
145	5710	33400
146	5743	33326
